SeqNo,Date,UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1,Cycle_Time, TCP_T_2,Averge_CT,Label
418,8/14/2022,48:28.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,7.32E-02,1.50E-03,3.06E-01,-2.21E-01,-8.56E-02,3.33E-03,-5.68E+00,-1.58E+00,-1.68E+00,1.12E+00,-1.02E+00,-4.09E+00,9.11E-02,-1.19E-01,-1.76E-01,-2.25E+00,-6.60E+00,3.51E-01,-5.55E+00,-1.87E+00,-3.21E+00,-1.18E-01,2.89E-01,2.25E-03,2.99E-01,2.77E-03,Normal
419,8/14/2022,48:29.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,7.38E-02,1.68E-02,-1.63E-01,8.47E-01,-6.86E-01,7.13E-02,-5.64E+00,-1.58E+00,-1.72E+00,1.39E+00,-1.25E+00,-4.07E+00,1.87E-01,3.68E-01,-7.12E-01,-8.59E-01,-5.45E+00,7.38E-01,-5.20E+00,-2.53E+00,-3.67E+00,-1.28E-01,3.06E-01,1.79E-03,3.01E-01,2.61E-03,Normal
420,8/14/2022,48:29.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,1.15E-01,1.54E-02,5.73E-02,6.03E-01,-6.64E-01,1.14E-01,-5.59E+00,-1.57E+00,-1.74E+00,1.75E+00,-1.59E+00,-4.02E+00,1.26E-01,2.05E-01,6.80E-02,-1.04E+00,-3.33E+00,8.53E-01,-5.92E+00,-6.87E-01,-3.51E+00,-6.28E-02,3.10E-01,2.29E-03,3.08E-01,2.49E-03,Normal
421,8/14/2022,48:30.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,1.91E-01,1.33E-02,2.45E-01,4.14E-01,-6.65E-01,1.91E-01,-5.56E+00,-1.56E+00,-1.71E+00,1.88E+00,-1.75E+00,-3.98E+00,2.48E-01,1.67E-01,9.20E-02,-1.43E+00,-3.10E+00,9.55E-01,-7.00E+00,7.02E-01,-6.96E+00,1.37E-02,4.49E-01,2.92E-03,3.00E-01,2.54E-03,Normal
422,8/14/2022,48:30.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,5.88E-01,1.87E-03,3.83E-01,9.55E-02,-4.92E-01,5.87E-01,-5.32E+00,-1.56E+00,-1.46E+00,2.08E+00,-2.22E+00,-3.74E+00,3.18E-01,7.71E-02,-7.64E-02,-1.68E+00,-6.41E-01,1.63E+00,-4.94E+00,-2.39E+00,-3.05E+00,-1.17E-01,2.58E-01,2.93E-03,3.04E-01,2.60E-03,Normal
423,8/14/2022,48:31.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,1.77E-01,2.03E-03,3.23E-01,8.44E-03,-3.41E-01,8.97E-01,-5.16E+00,-1.56E+00,-1.30E+00,2.10E+00,-2.40E+00,-3.32E+00,3.50E-03,1.17E-01,-1.10E-01,-1.63E+00,4.95E-02,1.91E+00,-4.22E+00,-4.74E+00,-1.79E+00,-2.24E-01,1.66E-01,2.31E-03,2.79E-01,2.59E-03,Normal
424,8/14/2022,48:31.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.50E-01,3.81E-03,2.71E-01,-2.66E-03,-2.67E-01,8.50E-01,-5.09E+00,-1.55E+00,-1.12E+00,2.10E+00,-2.57E+00,-2.89E+00,-2.66E-01,3.02E-01,-5.44E-02,-1.89E+00,8.27E-01,2.22E+00,-4.31E+00,-2.67E+00,3.72E-01,-2.03E-01,4.62E-02,2.25E-03,4.76E-02,2.59E-03,Normal
425,8/14/2022,48:32.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,6.45E-01,-1.78E-02,-2.23E-01,6.08E-03,2.11E-01,1.64E+00,-4.84E+00,-1.56E+00,-1.18E+00,2.10E+00,-2.52E+00,-2.17E+00,3.87E-01,-1.99E-01,-5.57E-01,-1.44E+00,2.47E+00,2.72E+00,-3.65E+00,-4.14E+00,2.51E+00,-2.11E-01,-1.59E-01,2.24E-03,2.76E-01,2.50E-03,Normal
426,8/14/2022,48:32.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,9.15E-01,-7.62E-03,-4.28E-01,9.56E-02,3.65E-01,1.47E+00,-4.34E+00,-1.57E+00,-1.39E+00,2.13E+00,-2.33E+00,-1.28E+00,3.52E-01,-3.41E-01,-7.13E-01,-1.34E+00,1.76E+00,1.91E+00,-4.50E+00,-3.40E+00,-7.60E-01,-1.97E-01,2.85E-02,3.34E-03,2.71E-01,2.46E-03,Normal
427,8/14/2022,48:33.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,9.40E-01,1.78E-02,-6.39E-01,5.82E-02,6.02E-01,9.30E-01,-3.82E+00,-1.57E+00,-1.63E+00,2.17E+00,-2.11E+00,-6.79E-01,3.59E-01,1.31E-01,-7.92E-01,-1.41E+00,1.39E+00,1.69E+00,-5.41E+00,-4.01E+00,2.21E+00,-1.69E-01,-6.12E-02,3.08E-03,2.89E-01,2.54E-03,Normal
428,8/14/2022,48:33.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,4.61E-01,6.36E-04,-7.93E-01,3.36E-02,7.59E-01,4.25E-01,-3.49E+00,-1.56E+00,-2.00E+00,2.19E+00,-1.76E+00,-3.63E-01,2.84E-01,2.49E-01,-6.58E-01,-1.72E+00,-3.47E-01,9.02E-01,-7.38E+00,-4.36E+00,3.33E+00,-2.19E-01,-6.35E-02,4.03E-03,3.12E-01,2.72E-03,Normal
429,8/14/2022,48:34.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,7.68E-03,-8.53E-04,-6.86E-01,3.00E-01,3.86E-01,-2.67E-04,-3.42E+00,-1.57E+00,-2.31E+00,2.27E+00,-1.52E+00,-3.03E-01,1.09E-01,-1.32E-02,-7.34E-01,-8.24E-01,-8.01E-01,3.96E-02,-6.00E+00,-4.28E+00,2.34E+00,-2.06E-01,-2.64E-02,5.29E-03,3.25E-01,3.07E-03,Normal
430,8/14/2022,48:34.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.42E+00,-1.57E+00,-2.44E+00,2.31E+00,-1.44E+00,-3.03E-01,1.10E-01,-8.69E-02,-6.05E-01,-1.34E+00,-1.80E+00,-1.25E-01,-6.79E+00,-4.09E+00,2.01E+00,-2.38E-01,-7.29E-03,3.30E-03,3.09E-01,3.17E-03,Normal
431,8/14/2022,48:35.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.80E-01,-1.10E-02,6.57E-01,-2.81E-01,-3.80E-01,-1.73E-01,-3.43E+00,-1.57E+00,-2.27E+00,2.25E+00,-1.55E+00,-3.14E-01,-4.64E-01,-2.96E-01,-1.25E-01,-2.65E+00,-2.54E+00,-1.31E+00,6.75E-01,-9.48E-01,-1.22E+00,-3.07E-02,5.08E-02,3.94E-03,-2.38E-01,3.27E-03,Normal
432,8/14/2022,48:35.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.99E-01,-1.95E-02,5.71E-01,-4.30E-01,-1.54E-01,-2.88E-01,-3.58E+00,-1.58E+00,-1.97E+00,2.07E+00,-1.67E+00,-4.55E-01,-8.83E-02,-2.08E-01,6.72E-02,-3.08E+00,-2.27E+00,-1.16E+00,-2.15E-01,-1.54E+00,2.58E+00,-2.50E-02,-9.62E-02,2.41E-03,-2.37E-01,3.22E-03,Normal
433,8/14/2022,48:36.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.69E-01,-1.74E-02,5.07E-01,-5.34E-01,1.01E-02,-2.58E-01,-3.72E+00,-1.58E+00,-1.72E+00,1.82E+00,-1.68E+00,-5.87E-01,-1.95E-01,-2.20E-01,-2.59E-01,-3.36E+00,-1.02E+00,-8.58E-01,2.52E-01,6.04E-01,-7.48E-01,8.11E-02,3.93E-02,2.30E-03,-2.53E-01,3.22E-03,Normal
434,8/14/2022,48:36.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.92E-02,-1.21E-03,4.03E-02,-5.73E-02,1.52E-02,-1.83E-02,-3.78E+00,-1.59E+00,-1.60E+00,1.67E+00,-1.66E+00,-6.45E-01,-4.39E-01,-4.52E-02,2.20E-02,-2.48E+00,-1.28E+00,-9.31E-01,2.74E+00,-1.07E-01,2.16E-01,2.24E-02,-2.36E-02,2.26E-03,-2.70E-01,3.22E-03,Normal
435,8/14/2022,48:37.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.81E+00,-1.59E+00,-1.54E+00,1.58E+00,-1.64E+00,-6.73E-01,-1.68E-01,-2.10E-01,-3.81E-01,-2.37E+00,-1.55E+00,-4.79E-01,1.40E+00,-1.36E-01,-1.11E-01,1.11E-02,-2.87E-02,2.79E-03,-2.64E-01,3.27E-03,Normal
436,8/14/2022,48:37.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,8.99E-01,-5.09E-02,-1.93E-01,-2.16E-01,2.45E-01,-8.24E-02,-3.53E+00,-1.60E+00,-1.60E+00,1.52E+00,-1.56E+00,-7.05E-01,2.82E-01,-2.03E-01,-6.61E-01,-2.84E+00,-1.40E+00,-6.79E-01,-8.50E-01,1.30E+00,-8.36E-01,6.74E-02,5.81E-02,2.32E-03,2.62E-01,3.17E-03,Normal
437,8/14/2022,48:38.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,9.40E-01,-1.06E-01,-1.29E-01,-2.93E-01,2.89E-01,-3.82E-02,-3.07E+00,-1.65E+00,-1.67E+00,1.38E+00,-1.42E+00,-7.29E-01,3.78E-01,-1.86E-01,-3.57E-01,-2.89E+00,-1.90E+00,-5.76E-01,-1.21E+00,6.84E-02,1.37E-02,6.54E-02,3.19E-02,2.34E-03,2.74E-01,3.10E-03,Normal
438,8/14/2022,48:38.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,8.83E-01,-1.50E-01,6.89E-02,-4.60E-01,3.52E-01,-3.72E-03,-2.59E+00,-1.72E+00,-1.68E+00,1.18E+00,-1.25E+00,-7.35E-01,3.74E-01,-3.26E-01,-2.33E-01,-3.08E+00,-2.45E+00,-6.81E-01,-1.09E+00,-1.79E-01,2.25E+00,8.53E-02,-6.11E-02,3.36E-03,2.78E-01,3.03E-03,Normal
439,8/14/2022,48:39.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-5.59E-02,1.04E-02,1.80E-02,-4.34E-02,1.43E-02,-5.58E-02,-2.32E+00,-1.77E+00,-1.64E+00,1.02E+00,-1.14E+00,-7.37E-01,-3.73E-01,8.44E-02,-1.65E-01,-2.60E+00,-3.43E+00,-1.43E+00,-1.91E-01,-1.60E+00,4.50E-01,5.95E-02,6.15E-02,2.82E-03,5.92E-02,2.78E-03,Normal
440,8/14/2022,48:39.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.50E-01,5.11E-02,1.30E-01,-3.06E-01,1.31E-01,-2.51E-01,-2.43E+00,-1.75E+00,-1.59E+00,9.07E-01,-1.09E+00,-8.45E-01,-2.63E-01,1.59E-01,-2.29E-03,-2.61E+00,-3.26E+00,-4.81E-01,3.07E-03,-3.47E-01,8.35E-01,9.88E-02,5.66E-02,2.28E-03,6.06E-02,2.68E-03,Normal
441,8/14/2022,48:40.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.63E-02,6.26E-03,-2.74E-01,2.71E-01,-1.03E-03,-2.72E-02,-2.45E+00,-1.74E+00,-1.58E+00,8.77E-01,-1.08E+00,-8.68E-01,-3.24E-01,1.66E-01,-4.22E-01,-9.16E-01,-4.20E+00,-8.25E-01,5.84E-01,-1.07E+00,3.72E-01,8.77E-02,5.84E-02,2.43E-03,7.25E-02,2.53E-03,Normal
442,8/14/2022,48:40.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,3.30E-03,-7.81E-04,3.39E-02,-3.23E-02,-1.06E-03,3.41E-03,-2.46E+00,-1.74E+00,-1.63E+00,9.23E-01,-1.08E+00,-8.73E-01,5.07E-02,1.74E-01,4.59E-02,-2.59E+00,-4.22E+00,7.88E-02,-6.45E-01,2.85E-01,-5.04E-02,1.11E-02,-2.88E-02,2.38E-03,7.19E-02,2.53E-03,Normal
443,8/14/2022,48:41.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,1.55E-02,-3.71E-03,1.64E-01,-1.65E-01,4.16E-03,1.60E-02,-2.45E+00,-1.74E+00,-1.58E+00,8.76E-01,-1.08E+00,-8.68E-01,1.12E-01,-2.25E-01,1.40E-01,-2.76E+00,-4.01E+00,5.13E-01,-1.18E+00,1.28E+00,2.82E-01,2.89E-02,-4.07E-02,2.41E-03,2.20E-01,2.54E-03,Normal
444,8/14/2022,48:41.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,4.60E-03,-1.11E-03,5.00E-02,-5.33E-02,4.11E-03,4.75E-03,-2.45E+00,-1.74E+00,-1.53E+00,8.23E-01,-1.08E+00,-8.63E-01,3.29E-01,-2.57E-01,-2.37E-01,-2.55E+00,-3.37E+00,6.44E-01,-9.16E-01,5.35E-01,2.02E-01,1.48E-03,-5.02E-02,2.29E-03,2.10E-01,2.54E-03,Normal
445,8/14/2022,48:42.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.60E-01,4.52E-02,-1.54E-01,5.13E-01,-3.45E-01,3.97E-02,-2.52E+00,-1.73E+00,-1.57E+00,9.73E-01,-1.18E+00,-8.51E-01,-1.05E-01,1.69E-01,-7.17E-01,-1.04E+00,-5.10E+00,9.21E-01,-2.58E-01,1.16E+00,-8.65E-01,3.28E-02,1.72E-02,2.79E-03,-2.63E-03,2.54E-03,Normal
446,8/14/2022,48:42.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.99E-01,4.90E-02,-5.29E-02,4.22E-01,-3.39E-01,6.57E-02,-2.67E+00,-1.71E+00,-1.62E+00,1.20E+00,-1.35E+00,-8.24E-01,-3.18E-01,3.24E-01,-6.84E-01,-1.20E+00,-4.74E+00,5.88E-01,-2.24E+00,5.67E-01,6.04E-01,-6.16E-03,-3.02E-02,3.94E-03,1.26E-03,2.70E-03,Normal
447,8/14/2022,48:43.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-3.03E-01,4.59E-02,2.57E-02,3.51E-01,-3.32E-01,9.75E-02,-2.82E+00,-1.68E+00,-1.63E+00,1.39E+00,-1.52E+00,-7.83E-01,-4.21E-01,3.14E-01,-5.42E-02,-1.07E+00,-3.52E+00,1.04E+00,-7.75E-01,1.83E+00,-1.29E+00,4.67E-02,-2.74E-03,2.49E-03,-1.01E-02,2.72E-03,Normal
448,8/14/2022,48:43.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-3.30E-01,4.61E-02,1.08E-01,3.30E-01,-3.71E-01,1.66E-01,-2.97E+00,-1.66E+00,-1.59E+00,1.56E+00,-1.69E+00,-7.20E-01,-2.89E-01,1.83E-01,-1.52E-01,-1.49E+00,-2.91E+00,8.97E-01,-3.16E+00,-1.06E+00,-1.12E-01,-3.84E-03,-8.33E-02,2.23E-03,-1.62E-02,2.61E-03,Normal
449,8/14/2022,48:44.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.89E-01,3.94E-02,1.94E-01,2.62E-01,-3.66E-01,2.82E-01,-3.13E+00,-1.64E+00,-1.50E+00,1.70E+00,-1.88E+00,-5.90E-01,-3.48E-01,2.55E-01,-3.03E-01,-1.10E+00,-2.01E+00,1.27E+00,-1.95E+00,-2.97E-01,-7.47E-01,-2.17E-02,-5.09E-02,2.88E-03,-3.85E-02,2.61E-03,Normal
450,8/14/2022,48:44.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.97E-02,3.27E-02,2.77E-02,2.89E-01,-2.16E-01,5.03E-01,-3.20E+00,-1.62E+00,-1.42E+00,1.80E+00,-2.01E+00,-3.80E-01,-9.86E-02,8.82E-02,1.48E-01,-8.91E-01,-1.24E+00,1.27E+00,-1.26E+00,-4.34E-01,-1.86E+00,9.18E-03,-1.93E-02,5.23E-03,-2.28E-02,2.91E-03,Normal
451,8/14/2022,48:45.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,5.59E-02,3.64E-02,-4.00E-01,5.20E-01,-5.70E-02,4.12E-01,-3.18E+00,-1.60E+00,-1.51E+00,2.01E+00,-2.08E+00,-1.37E-01,3.28E-01,1.38E-01,-6.37E-01,-9.35E-01,-6.86E-01,1.05E+00,-2.63E+00,-1.58E-01,-1.60E+00,-7.30E-03,-1.83E-02,3.09E-03,2.23E-01,2.97E-03,Normal
452,8/14/2022,48:45.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-9.61E-03,9.93E-03,-7.08E-01,5.74E-01,1.46E-01,6.45E-02,-3.17E+00,-1.60E+00,-1.63E+00,2.14E+00,-2.08E+00,-5.57E-02,1.88E-01,3.32E-01,-3.88E-01,-6.97E-01,5.86E-01,9.22E-01,-2.08E+00,-7.01E-01,-3.41E-02,2.70E-02,-7.00E-02,1.77E-03,2.28E-01,2.91E-03,Normal
453,8/14/2022,48:46.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.80E-02,-3.09E-04,-9.10E-01,4.64E-01,4.46E-01,-2.17E-02,-3.18E+00,-1.59E+00,-2.21E+00,2.53E+00,-1.89E+00,-3.27E-02,-3.31E-01,1.19E-01,-6.24E-01,-1.13E+00,1.58E-01,-4.72E-01,-2.32E+00,3.87E-01,1.11E-01,4.69E-02,-7.89E-02,3.87E-03,-5.98E-03,3.06E-03,Normal
454,8/14/2022,48:46.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.18E+00,-1.59E+00,-2.29E+00,2.56E+00,-1.84E+00,-3.44E-02,-2.25E-02,1.25E-01,-5.01E-02,-1.37E+00,-3.20E-01,-4.93E-01,-2.15E+00,1.74E-01,-1.48E+00,1.45E-02,-4.09E-02,3.89E-03,-1.63E-02,3.22E-03,Normal
455,8/14/2022,48:47.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.14E+00,-1.59E+00,-2.29E+00,2.55E+00,-1.82E+00,8.18E-04,1.29E-01,2.49E-01,-6.51E-01,-1.97E+00,-2.71E-01,4.21E-01,-4.03E-01,-8.93E-01,6.93E-01,-9.47E-03,-5.46E-03,5.33E-03,2.28E-01,3.47E-03,Normal
456,8/14/2022,48:47.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.07E-03,1.63E-04,1.34E-01,-4.94E-02,-8.51E-02,-4.90E-04,-3.14E+00,-1.59E+00,-2.28E+00,2.54E+00,-1.83E+00,7.61E-04,-8.30E-03,2.26E-01,-6.24E-02,-2.67E+00,-2.30E+00,1.10E-01,-9.18E-01,-1.23E-01,9.12E-01,-1.96E-02,-4.14E-02,2.29E-03,-3.01E-02,3.31E-03,Normal
457,8/14/2022,48:48.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-8.32E-03,-9.62E-05,8.89E-01,-5.03E-01,-3.87E-01,-4.85E-03,-3.15E+00,-1.59E+00,-2.10E+00,2.47E+00,-1.93E+00,1.73E-05,-1.18E-01,2.16E-01,-2.40E-02,-2.98E+00,-1.41E+00,-3.37E-01,1.79E-01,-3.34E-01,-1.97E+00,-1.01E-02,8.89E-02,2.43E-03,-2.03E-01,3.30E-03,Normal
458,8/14/2022,48:48.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-7.23E-03,-1.27E-03,6.26E-01,-6.47E-01,2.13E-02,-5.91E-03,-3.15E+00,-1.59E+00,-1.53E+00,2.04E+00,-2.08E+00,-4.03E-03,-7.58E-02,6.36E-03,2.31E-01,-2.72E+00,3.71E-01,-6.15E-01,1.14E+00,1.44E-01,-6.96E-01,-5.52E-03,2.03E-02,2.77E-03,-2.20E-01,3.36E-03,Normal
459,8/14/2022,48:49.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,2.48E-01,-4.61E-01,-4.02E-01,4.46E-01,-5.55E-01,-4.20E-01,-3.09E+00,-1.69E+00,-1.39E+00,1.89E+00,-2.16E+00,-8.56E-02,4.33E-02,-4.52E-01,-8.60E-01,-7.33E-01,-1.01E+00,-1.94E+00,-1.73E+00,-4.63E+00,2.12E+00,-1.72E-01,-2.92E-02,4.23E-03,2.65E-02,3.49E-03,Normal
460,8/14/2022,48:49.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.30E-02,-3.11E-01,-6.59E-01,4.92E-01,-4.66E-01,-6.25E-01,-3.04E+00,-1.89E+00,-1.66E+00,2.12E+00,-2.42E+00,-3.51E-01,-2.90E-01,-5.60E-01,-6.83E-01,-9.64E-01,3.69E-01,-1.62E+00,-1.04E+00,-8.40E-01,2.66E+00,-2.39E-02,4.36E-02,2.35E-03,-2.00E-01,3.20E-03,Normal
461,8/14/2022,48:50.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.41E-01,-2.96E-02,-1.01E+00,5.21E-01,-2.51E-01,-8.00E-01,-3.07E+00,-1.93E+00,-1.86E+00,2.25E+00,-2.52E+00,-5.31E-01,-5.79E-02,-3.20E-01,-7.83E-01,-1.16E+00,6.63E-01,-1.84E+00,-2.54E+00,-1.27E+00,8.55E-01,-1.58E-02,1.37E-01,5.24E-03,-1.58E-01,3.42E-03,Normal
462,8/14/2022,48:50.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,4.07E-01,-3.43E-01,-1.74E+00,2.52E-01,9.87E-01,-2.37E-01,-3.08E+00,-1.95E+00,-2.43E+00,2.50E+00,-2.54E+00,-8.84E-01,3.60E-01,-3.95E-01,-8.33E-01,-9.46E-01,3.10E+00,-1.18E+00,-1.46E+00,-1.87E+00,6.01E-01,1.54E-02,-1.88E-02,2.43E-03,2.10E-02,3.48E-03,Normal
463,8/14/2022,48:51.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.91E+00,-2.09E+00,-3.19E+00,2.61E+00,-2.13E+00,-1.01E+00,7.97E-02,-2.78E-02,-5.04E-01,-1.29E+00,4.39E-01,-2.26E-01,-1.21E+00,-1.25E+00,-1.18E+00,7.99E-02,-1.43E-02,5.64E-03,7.53E-03,3.66E-03,Normal
464,8/14/2022,48:51.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.23E-01,4.77E-01,-7.64E-02,-4.09E-01,3.97E-01,-5.20E-01,-2.93E+00,-2.06E+00,-3.20E+00,2.60E+00,-2.11E+00,-1.04E+00,-2.95E-01,3.55E-01,-5.82E-01,-2.77E+00,1.42E+00,-1.53E+00,1.80E-01,-3.63E-01,-1.42E+00,2.85E-03,2.30E-01,2.40E-03,1.67E-02,3.51E-03,Normal
465,8/14/2022,48:52.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-1.00E-01,2.36E-01,5.11E-02,-5.22E-01,4.44E-01,-2.56E-01,-3.04E+00,-1.80E+00,-3.21E+00,2.27E+00,-1.82E+00,-1.32E+00,7.29E-04,3.54E-01,-9.72E-02,-2.20E+00,-4.90E-01,-8.23E-01,2.13E+00,2.21E+00,-1.23E-01,7.40E-02,2.08E-01,4.67E-03,-6.82E-02,3.45E-03,Normal
466,8/14/2022,48:52.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.05E+00,-1.78E+00,-3.20E+00,2.21E+00,-1.77E+00,-1.34E+00,-2.26E-01,2.06E-01,3.80E-02,-2.34E+00,-4.72E-01,-3.05E-01,-1.79E-01,6.04E-01,3.72E-01,-1.55E-02,1.98E-01,1.96E-03,-7.79E-02,3.41E-03,Normal
467,8/14/2022,48:53.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-3.82E-04,8.69E-04,2.14E-01,-1.35E-01,-7.91E-02,-1.67E-04,-3.05E+00,-1.78E+00,-3.16E+00,2.18E+00,-1.78E+00,-1.34E+00,-2.76E-01,2.82E-01,-3.06E-01,-2.59E+00,-2.07E+00,-4.94E-01,-2.81E+00,6.48E-01,-9.81E-01,-1.26E-01,5.66E-02,2.19E-03,5.72E-02,3.39E-03,Normal
468,8/14/2022,48:53.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,-2.49E-04,4.30E-04,1.16E-01,-8.30E-02,-3.27E-02,-9.93E-05,-3.05E+00,-1.78E+00,-3.06E+00,2.11E+00,-1.82E+00,-1.34E+00,-2.70E-01,3.23E-01,-1.69E-01,-2.48E+00,-1.85E+00,-3.68E-01,-6.18E-01,8.34E-01,-8.24E-01,-6.41E-02,5.98E-02,2.86E-03,5.01E-02,3.40E-03,Normal
469,8/14/2022,48:54.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,9.67E-02,-2.26E-02,6.61E-01,6.41E-03,-3.23E-01,6.16E-02,-3.02E+00,-1.79E+00,-2.85E+00,2.11E+00,-1.92E+00,-1.32E+00,2.62E-01,-1.38E-01,8.18E-02,-2.72E+00,-2.30E+00,1.08E+00,-2.26E+00,6.06E-01,-1.91E-01,-1.30E-01,-1.56E-01,2.53E-03,1.50E-01,3.23E-03,Normal
470,8/14/2022,48:54.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,2.36E-01,7.70E-02,1.24E+00,-2.64E-01,-2.70E-01,1.26E-01,-2.91E+00,-1.78E+00,-2.18E+00,2.01E+00,-2.13E+00,-1.26E+00,3.97E-02,4.11E-01,8.08E-02,-2.86E+00,-6.73E-01,7.93E-01,-2.24E+00,-8.49E-01,-7.85E-01,-1.58E-01,-9.85E-02,4.06E-03,1.70E-01,3.40E-03,Normal
471,8/14/2022,48:55.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,1.85E-01,1.93E-01,9.87E-01,-2.39E-01,-7.56E-02,1.00E-01,-2.80E+00,-1.71E+00,-1.63E+00,1.88E+00,-2.21E+00,-1.20E+00,1.22E-01,1.43E-01,1.00E-01,-2.70E+00,-2.68E-01,8.54E-01,-3.98E-01,5.77E-01,-5.80E-01,-1.05E-01,1.47E-02,4.42E-03,2.17E-01,3.32E-03,Normal
472,8/14/2022,48:55.8,1,1,1.00E+00,9040,1,0,0,0,0,0,0,7.69E-02,1.81E-01,5.38E-01,-7.20E-02,-2.33E-02,5.94E-02,-2.73E+00,-1.60E+00,-1.22E+00,1.80E+00,-2.23E+00,-1.16E+00,3.52E-01,3.15E-01,-1.57E-01,-2.42E+00,-1.77E-01,6.13E-01,-1.09E+00,-1.37E+00,-2.65E-01,-2.10E-01,9.80E-02,3.47E-03,2.12E-01,3.42E-03,Normal
473,8/14/2022,48:56.3,1,1,1.00E+00,9040,1,0,0,0,0,0,0,8.29E-03,-3.66E-03,-1.83E-01,2.23E-01,-2.95E-02,3.70E-01,-2.73E+00,-1.59E+00,-1.17E+00,1.80E+00,-2.23E+00,-1.15E+00,3.10E-01,2.85E-01,-1.32E-01,-1.01E+00,-6.32E-02,1.36E+00,9.78E-01,4.97E+00,5.01E-01,4.68E-03,6.80E-02,2.29E-03,1.89E-01,3.09E-03,Normal
